key1(419.276, 146.555); key2(360.8, 150.934)
key1(343.488, 130.71); key2(285.5, 135.934)
key1(361, 54.9419); key2(226.931, 95.5614)
key1(306.288, 101.352); key2(303.993, 59.2384)
key1(303.752, 95.7719); key2(358.941, 112.842)
key1(321.991, 92.7644); key2(345.052, 123.914)
key1(345.509, 127.12); key2(360.813, 141.449)
key1(422.892, 134.807); key2(362.566, 138.825)
key1(422.898, 138.311); key2(380.94, 86.1027)
key1(480.935, 131.026); key2(394.227, 112.146)
key1(448.972, 107.299); key2(430.268, 163.044)
key1(439.405, 78.6022); key2(6.25474e-036, 2.5207e-035)
